William Silva de Carvalho,1992-04-07,27500000
Samuel Umtiti,1993-11-14,29500000
Riyad Mahrez,1991-02-21,30500000
Virgil van Dijk,1991-07-08,27500000
Roberto Firmino Barbosa de Oliveira,1991-10-02,33000000
Danilo Luís Hélio Pereira,1991-09-09,27500000
Víctor Machín Pérez,1989-11-02,27000000
Stefan de Vrij,1992-02-05,29000000
Mattia Perin,1992-11-10,25000000
Joel Matip,1991-08-08,26500000
Idrissa Gueye,1989-09-26,24500000
Iago Aspas Juncal,1987-08-01,26000000
Ciro Immobile,1990-02-20,30500000
Nicolás Otamendi,1988-02-12,20000000
Daniel Parejo Muñoz,1989-04-16,25500000
Shinji Kagawa,1989-03-17,26000000
Giacomo Bonaventura,1989-08-22,26500000
Bas Dost,1989-05-31,27000000
Kyle Walker,1990-05-28,24000000
Steven N'Zonzi,1988-12-15,21000000
Mateo Musacchio,1990-08-26,27000000
Ömer Toprak,1989-07-21,24500000
José María Callejón Bueno,1987-02-11,24500000
Nicolás Gaitán,1988-02-23,25500000
Mario Mandžukic,1986-05-21,23500000
Adam Lallana,1988-05-10,25000000
Benedikt Höwedes,1988-02-29,20000000
Éver Banega,1988-06-29,25500000
Rui Pedro dos Santos Patrício,1988-02-15,17500000
Yann Sommer,1988-12-17,21000000
Morgan Schneiderlin,1989-11-08,24500000
Jonas Gonçalves Oliveira,1984-04-01,16500000
cukasz Piszczek,1985-06-03,14500000
Ezequiel Garay,1986-10-10,19000000
Antonio Valencia,1985-08-04,17000000
Kasper Schmeichel,1986-11-05,19000000
Moussa Dembélé,1987-07-16,25000000
Borja Valero Iglesias,1985-01-12,20000000
Lucas Biglia,1986-01-30,17500000
Diego López Rodríguez,1981-11-03,6000000
Santiago Cazorla González,1984-12-13,19500000
Javier Mascherano,1984-06-08,10500000
Luís Carlos Almeida da Cunha,1986-11-17,24500000
Daniele De Rossi,1983-07-24,10500000
José Manuel Reina Páez,1982-08-31,10500000
Yaya Touré,1983-05-13,12500000
Iker Casillas Fernández,1981-05-20,3500000
Gianluigi Donnarumma,1999-02-25,28500000
Leroy Sané,1996-01-11,34500000
Tiémoué Bakayoko,1994-08-17,26000000
Corentin Tolisso,1994-08-03,30500000
Jonathan Tah,1996-02-11,26000000
Federico Bernardeschi,1994-02-16,30500000
Timo Werner,1996-03-06,30500000
André Filipe Tavares Gomes,1993-07-30,30000000
Anthony Martial,1995-12-05,33000000
Lucas Vázquez Iglesias,1991-07-01,26000000
Saúl Ñíguez Esclápez,1994-11-21,32000000
Felipe Augusto de Almeida Monteiro,1989-05-16,18000000
Carlos Bacca,1986-09-08,21500000
Franco Vázquez,1989-02-22,22500000
Mateo Kovacic,1994-05-06,30000000
Sergio Rico González,1993-09-01,21500000
Manuel Trigueros Muñoz,1991-10-17,27500000
Antonio Rüdiger,1993-03-03,24500000
Stefan Savic,1991-01-08,24000000
Iñigo Martínez Berridi,1991-05-17,24000000
Roque Mesa Quevedo,1989-06-07,18000000
Alessandro Florenzi,1991-03-11,22000000
Davy Klaassen,1993-02-21,27500000
Karim Bellarabi,1990-04-08,23000000
Raheem Sterling,1994-12-08,29500000
Jesús Joaquín Fernández Sáez,1993-11-19,29500000
Gerard Deulofeu Lázaro,1994-03-13,31000000
Eric Dier,1994-01-15,25000000
Marcos Rojo,1990-03-20,21000000
Heung Min Son,1992-07-08,28000000
Francesco Acerbi,1988-02-10,17000000
Granit Xhaka,1992-09-27,27500000
Jonathan Viera Ramos,1989-10-01,23000000
Luis Miguel Afonso Fernandes,1989-10-06,23000000
Willian José da Silva,1991-11-23,29000000
Andriy Yarmolenko,1989-10-23,23000000
Oliver Baumann,1990-06-02,18000000
Víctor Ruíz Torre,1989-01-25,20000000
Xherdan Shaqiri,1991-10-10,26500000
Juan Cuadrado,1988-05-26,21500000
Douglas Costa de Souza,1990-09-14,24000000
Nathaniel Clyne,1991-04-05,22000000
Vicente Iborra de la Fuente,1988-01-16,17000000
Victor Wanyama,1991-06-25,23000000
Lars Stindl,1988-08-26,23000000
Aaron Ramsey,1990-12-26,25500000
Wojciech Szczcsny,1990-04-18,18000000
Gylfi Sigurðsson,1989-09-08,23000000
Yacine Brahimi,1990-02-08,23000000
Marko Arnautovic,1989-04-19,22500000
Jordan Henderson,1990-06-17,21500000
Max Kruse,1988-03-19,22000000
Orestis Karnezis,1985-07-11,13500000
Ljubomir Fejsa,1988-08-14,18000000
Georginio Wijnaldum,1990-11-11,27000000
Federico Fazio,1987-03-17,16500000
Olivier Giroud,1986-09-30,21500000
Javier Hernández,1988-06-01,22000000
Beñat Etxebarria Urkiaga,1987-02-19,20500000
Lars Bender,1989-04-27,20000000
Kévin Gameiro,1987-05-09,21500000
Claudio Bravo,1983-04-13,9000000
Asmir Begovic,1987-06-20,14000000
Ronaldo Aparecido Rodrigues,1982-09-10,6500000
Daniel Sturridge,1989-09-01,23500000
Danny Rose,1990-07-02,21000000
Carlos Vela,1989-03-01,22500000
Emiliano Viviano,1985-12-01,13500000
Gonzalo Castro,1987-06-11,20500000
Ashley Williams,1984-08-23,12500000
Leighton Baines,1984-12-11,12500000
Andrea Consigli,1987-01-27,14000000
Raúl Albiol Tortajada,1985-09-04,15000000
Joe Hart,1987-04-19,14000000
Mario Gómez,1985-07-10,20000000
Juan Francisco Torres Belén,1985-01-09,12500000
Raffael Caetano de Araújo,1985-03-28,17500000
Arda Turan,1987-01-30,20500000
Fernando Luiz Rosa,1985-05-04,12500000
Stephan Lichtsteiner,1984-01-16,8500000
Rune Almenning Jarstein,1984-09-29,12500000
Marcus Rashford,1997-10-31,26500000
Gabriel Fernando de Jesus,1997-04-03,31000000
Nélson Cabral Semedo,1993-11-16,20500000
Gelson Dany Batalha Martins,1995-05-11,25000000
Julian Weigl,1995-09-08,21000000
Davinson Sánchez,1996-06-12,21500000
Islam Slimani,1988-06-18,18000000
Andrej Kramaric,1991-06-19,22000000
Marcelo Brozovic,1992-11-16,23000000
Iñaki Williams Arthuer,1994-06-15,24500000
Daniel Garcia Carrillo,1990-05-01,17000000
Andreas Christensen,1996-04-10,24000000
Joshua Kimmich,1995-02-08,20500000
Armindo Tué Na Bangna,1994-10-24,24000000
Domenico Berardi,1994-08-01,24500000
Raphaël Guerreiro,1993-12-22,24000000
Jamie Vardy,1987-01-11,17000000
Michael Keane,1993-01-11,21000000
Luiz Frello Filho Jorge,1991-12-20,22000000
Héctor Bellerín Moruno,1995-03-19,21000000
Jack Butland,1993-03-10,18000000
Simone Zaza,1991-06-25,21000000
Felipe Anderson Pereira Gomes,1993-04-15,24000000
Rafael Alcântara,1993-02-12,23500000
José Ignacio Fernández Iglesias,1990-01-18,17500000
Jasper Cillessen,1989-04-22,15000000
Sergio Roberto Carnicer,1992-02-07,19500000
Wissam Ben Yedder,1990-08-12,21000000
Lucas Pérez Martínez,1988-09-10,18500000
Ross Barkley,1993-12-05,23000000
Cédric Bakambu,1991-04-11,22500000
Wilfried Zaha,1992-11-10,22500000
Marc Bartra Aregall,1991-01-15,18000000
Serge Aurier,1992-12-24,19000000
Sebastián Coates,1990-10-07,18000000
Grzegorz Krychowiak,1990-01-29,17500000
Kevin Kampl,1990-10-09,20500000
Dejan Lovren,1989-07-05,17500000
Ricardo Rodríguez,1992-08-25,18500000
Jesús Corona,1993-01-06,23000000
Mario Gaspar Pérez Martínez,1990-11-24,18000000
Marcos Alonso Mendoza,1990-12-28,17500000
Mario Götze,1992-06-03,22500000
Lukáš Hrádecký,1989-11-24,14500000
Asier Illarramendi,1990-03-08,18000000
Oscar De Marcos Arana,1989-04-14,14000000
Chris Smalling,1989-11-22,17000000
Jack Wilshere,1992-01-01,22000000
Sebastian Rudy,1990-02-28,20000000
Manuel Lanzini,1993-02-15,24500000
Ryad Boudebouz,1990-02-19,20500000
Ignacio Camacho Barnola,1990-05-04,18000000
José Paulo Bezerra M. Júnior,1988-07-25,17500000
Nikola Kalinic,1988-01-05,18000000
Diego Perotti,1988-07-26,18000000
Marco Parolo,1985-01-25,13500000
Mamadou Sakho,1990-02-13,17000000
Séamus Coleman,1988-10-11,14000000
Simon Kjær,1989-03-26,16000000
Antonio Adán Garrido,1987-05-13,11500000
Simon Mignolet,1988-03-06,12000000
Davide Astori,1987-01-07,13000000
Kevin Mirallas,1987-10-05,17500000
Andrés Guardado,1986-09-28,16500000
Raúl García Escudero,1986-07-11,17000000
Tom Heaton,1986-04-15,11000000
Gabriel Fernández Arenas,1983-07-10,10500000
Miguel Ángel Moyá Rumbo,1984-04-02,9000000
Wayne Rooney,1985-10-24,15500000
Per Mertesacker,1984-09-29,10000000
Fernando José Torres Sanz,1984-03-20,11000000
Sergej Milinkovic-Savic,1995-02-27,20000000
Ángel Correa,1995-03-09,21000000
Nabil Bentaleb,1994-11-24,19500000
Alisson Ramses Becker,1992-10-02,14000000
Alex Nicolao Telles,1992-12-15,16000000
Julian Brandt,1996-05-02,22000000
Kerem Demirbay,1993-07-03,19500000
Daniele Rugani,1994-07-29,19000000
Samuel Castillejo Azuaga,1995-01-18,20000000
Piotr Zielicski,1994-05-20,20500000
Ricardo D. Barbosa Pereira,1993-10-06,17000000
Alejandro Grimaldo García,1995-09-20,17500000
Jonas Hector,1990-05-27,14000000
Emre Can,1994-01-12,19500000
Gerard Moreno Balagueró,1992-04-07,19500000
Sead Kolašinac,1993-06-20,15500000
Kepa Arrizabalaga,1994-10-03,15500000
Leonardo Carrilho Baptistão,1992-08-26,19000000
Matija Nastasic,1993-03-28,16500000
Denis Suárez Fernández,1994-01-06,20500000
Michy Batshuayi,1993-10-02,20000000
John Brooks,1993-01-28,17000000
Šime Vrsaljko,1992-01-10,16000000
Loris Karius,1993-06-22,14000000
Thorgan Hazard,1993-03-29,19500000
Faouzi Ghoulam,1991-02-01,15000000
Josip Ilicic,1988-01-29,15000000
Kevin Volland,1992-07-30,19000000
Allan Marques Loureiro,1991-01-08,17500000
Pablo Hernández,1986-10-24,13500000
Dušan Tadic,1988-11-20,15000000
Luis Muriel,1991-04-18,18500000
Pablo Sarabia García,1992-05-11,18500000
Alex Oxlade-Chamberlain,1993-08-15,20000000
Josuha Guilavogui,1990-09-19,15000000
Phil Jones,1992-02-21,14500000
Sergi Enrich Ametller,1990-02-26,17500000
Norberto Murara Neto,1989-07-19,10000000
Hugo Mallo Novegil,1991-06-22,15000000
Daniel Didavi,1990-02-21,17000000
Roberto Soriano,1991-02-08,17500000
André Schürrle,1990-11-06,17500000
Maxime Gonalons,1989-03-10,12000000
Roberto Pereyra,1991-01-07,18000000
Kevin Vogt,1991-09-23,15000000
Fabián Orellana,1986-01-27,13000000
Eduardo Salvio,1990-07-13,16000000
Daley Blind,1990-03-09,13500000
Stephan El Shaarawy,1992-10-27,19000000
Michail Antonio,1990-03-28,17500000
Iago Falqué Silva,1990-01-04,15500000
Ander Iturraspe Derteano,1989-03-08,14500000
Salomón Rondón,1989-09-16,16000000
Daniel Filipe Martins Carriço,1988-08-04,13500000
Marcel Schmelzer,1988-01-22,11000000
James McCarthy,1990-11-12,14500000
Paulo Henrique Chagas de Lima,1989-10-12,15500000
Danny Welbeck,1990-11-26,17500000
Mikel San José Domínguez,1989-05-30,14500000
Matteo Darmian,1989-12-02,13500000
Christian Benteke,1990-12-03,18000000
Ibrahima Traoré,1988-04-21,14500000
Sidnei Rechel da Silva Júnior,1989-08-23,14500000
Eder Citadin Martins,1986-11-15,14500000
Francisco Casilla Cortés,1986-10-02,9500000
Ignacio Monreal Eraso,1986-02-26,10000000
Sven Bender,1989-04-27,13500000
Augusto Fernández,1986-04-10,12500000
Valter Birsa,1986-08-07,14000000
Pedro León Sánchez Gil,1986-11-24,14000000
Kevin-Prince Boateng,1987-03-06,14500000
Iván Marcano Sierra,1987-06-23,11000000
Héctor Moreno,1988-01-17,11500000
Sergio Romero,1987-02-22,9500000
Antonio Candreva,1987-02-28,14000000
Daniel Wass,1989-05-31,14500000
Erik Lamela,1992-03-04,18500000
Ryan Bertrand,1989-08-05,12000000
Jardel Nivaldo Vieira,1986-03-29,10000000
Dušan Basta,1984-08-18,8000000
Gustavo Cabral,1985-10-14,10000000
Gabriel Paletta,1986-02-15,10000000
Theo Walcott,1989-03-16,15000000
cukasz Fabiacski,1985-04-18,8500000
Ben Foster,1983-04-03,6000000
Vedad Ibiševic,1984-08-06,12000000
Salomon Kalou,1985-08-05,13000000
Javier Fuego Martínez,1984-01-04,6000000
Antonio Mirante,1983-07-08,7500000
Federico Marchetti,1983-02-07,6000000
James Milner,1986-01-04,9500000
Jérémy Mathieu,1983-10-29,6000000
Phil Jagielka,1982-08-17,4500000
Jermain Defoe,1982-10-07,8000000
Júlio César Soares Espíndola,1979-09-03,1000000
Michael Carrick,1981-07-28,3500000
Mikel Oyarzabal Ugarte,1997-04-21,18000000
Francisco Soares dos Santos,1991-01-17,15500000
Florin Andone,1993-04-11,17000000
Marcos Acuña,1991-10-28,16000000
Victor Lindelöf,1994-07-17,15000000
Clément Lenglet,1995-06-17,14500000
Mahmoud Dahoud,1996-01-01,18500000
Davide Zappacosta,1992-06-11,13500000
Nikola Maksimovic,1991-11-25,13500000
Kingsley Coman,1996-06-13,18000000
Diego Javier Llorente Ríos,1993-08-16,16000000
Max Meyer,1995-09-18,18000000
José Luís Gayà Peña,1995-05-25,14000000
Sofiane Boufal,1993-09-17,17000000
Marco Benassi,1994-09-08,17500000
Elseid Hysaj,1994-02-02,13500000
João Pedro Cavaco Cancelo,1994-05-27,15000000
Alessio Romagnoli,1995-01-12,16000000
Óliver Torres Muñoz,1994-11-10,17000000
Hakan Çalhanoclu,1994-02-08,16500000
Luciano Vietto,1993-12-05,18000000
Maximilian Arnold,1994-05-27,16500000
Serge Gnabry,1995-07-14,18500000
Luke Shaw,1995-07-12,14000000
Ben Davies,1993-04-24,13000000
Daniele Baselli,1992-03-12,16500000
Arkadiusz Milik,1994-02-28,18000000
Juan Bernat Velasco,1993-03-01,13500000
Willi Orban,1992-11-03,13500000
Rubén Pardo Gutiérrez,1992-10-22,16000000
Kurt Zouma,1994-10-27,15000000
Christoph Kramer,1991-02-19,13000000
John Stones,1994-05-28,14500000
Federico Fernández,1989-02-21,10000000
Salif Sané,1990-08-25,12500000
Nicola Sansone,1991-09-10,16000000
Paul-Georges Ntep,1992-07-29,16000000
Jeison Murillo,1992-05-27,13500000
Gabriel Armando de Abreu,1990-11-26,12500000
Vladimír Darida,1990-08-08,14500000
Cédric Ricardo Alves Soares,1991-08-31,13000000
Lorenzo Tonelli,1990-01-17,12500000
Riccardo Saponara,1991-12-21,16000000
Yevhen Konoplyanka,1989-09-29,13000000
Lucas Digne,1993-07-20,14000000
Francisco Alcácer García,1993-08-30,17500000
José Vicente Gómez Umpiérrez,1988-08-31,12500000
Emre Çolak,1991-05-20,15500000
John Guidetti,1992-04-15,16500000
Oriol Romeu Vidal,1991-09-24,13000000
Manuel Agudo Durán,1986-10-15,12000000
Bruno Martins Indi,1992-02-08,13500000
Manolo Gabbiadini,1991-11-26,16500000
Patrick Herrmann,1991-02-12,15000000
Florian Lejeune,1991-05-20,13500000
Jeffrey Bruma,1991-11-13,13500000
Adrián San Miguel Castillo,1987-01-03,8000000
Sergio Gontán Gallardo,1991-12-27,16000000
Hernán Pérez,1989-02-25,12500000
Jaume Vicent Costa Jordá,1988-03-18,9500000
Sergio Escudero Palomo,1989-09-02,10500000
Yunus Mallc,1992-02-24,15500000
Sébastien Corchia,1990-11-01,12000000
Adem Ljajic,1991-09-29,15000000
Sergio Canales Madrazo,1991-02-16,15500000
Marwin Hitz,1987-09-18,8500000
Mikel Balenziaga,1988-02-29,9500000
Wilfried Bony,1988-12-10,13000000
Iker Muniain Goñi,1992-12-19,17000000
Benjamin Hübner,1989-07-04,10500000
Francis Coquelin,1991-05-13,12000000
Jonathas de Jesus Maurício,1989-03-06,13000000
Seydou Doumbia,1987-12-31,12500000
Maurício Santos Nascimento,1988-09-20,10000000
Marco Fabián,1989-07-21,13000000
Ron-Robert Zieler,1989-02-12,10000000
Danny Drinkwater,1990-03-05,14000000
Aleksandar Kolarov,1985-11-10,8000000
Kyriakos Papadopoulos,1992-02-23,13500000
Sandro Wagner,1987-11-29,12500000
Pablo Piatti,1989-03-31,12500000
Claudio Yacob,1987-07-18,10000000
Angelo Ogbonna,1988-05-23,10000000
Roberto Jiménez Gago,1986-02-10,7500000
Nordin Amrabat,1987-03-31,12000000
Vitorino Pacheco Antunes,1987-04-01,9000000
Sebastian Prödl,1987-06-21,9500000
Fabian Johnson,1987-12-11,12500000
Bojan Krkic Pérez,1990-08-28,15000000
Marouane Fellaini,1987-11-22,12000000
André Ayew,1989-12-17,13000000
David Ospina,1988-08-31,9000000
Winston Reid,1988-07-03,11500000
Lucas Pezzini Leiva,1987-01-09,9500000
Zlatko Junuzovic,1987-09-26,12000000
Cristian Ansaldi,1986-09-20,9000000
Victor Moses,1990-12-12,12500000
Jorge Andújar Moreno,1987-04-26,9000000
David Zurutuza,1986-07-19,11500000
José Miguel da Rocha Fonte,1983-12-22,5000000
Nuri cahin,1988-09-05,10000000
Ryan Shawcross,1987-10-04,10000000
Jonny Evans,1988-01-03,10000000
Salvatore Sirigu,1987-01-12,8000000
Yohan Cabaye,1986-01-14,11000000
Danilo Larangeira,1984-05-10,5000000
Nicolás Pareja,1984-01-19,5000000
ctefan Radu,1986-10-22,9000000
David Abraham,1986-07-15,9500000
Michael Krohn-Dehli,1983-06-06,6500000
José Manuel Jurado Marín,1986-06-29,11000000
Héctor Herrera,1990-04-19,14000000
Anderson Luís da Silva,1981-02-13,1700000
Xabier Prieto Argarate,1983-08-29,7500000
Pablo Zabaleta,1985-01-16,7000000
Willy Caballero,1981-09-28,3000000
Michel Vorm,1983-10-20,6500000
Daniel Baier,1984-05-18,5000000
Heurelho Silva Gomes,1981-02-15,1700000
René Adler,1985-01-15,7000000
Stefano Sorrentino,1979-03-28,850000
Joaquín Sánchez Rodríguez,1981-07-21,5500000
Gareth Barry,1981-02-23,1700000
André Miguel Valente da Silva,1995-11-06,15500000
Yeray Álvarez López,1995-01-24,12000000
Christian Pulisic,1998-09-18,16500000
Nemanja Radoja,1993-02-06,13500000
Franco Cervi,1994-05-26,14500000
Jorge Meré Pérez,1997-04-17,12000000
Jonathan Rodríguez Menéndez,1991-07-09,12500000
Rick Karsdorp,1995-02-11,12000000
Daniel Ceballos Fernández,1996-08-07,16500000
Raúl Michel Melo da Silva,1989-11-04,10000000
Pau López Sabata,1994-12-13,10000000
Matias Vecino,1991-08-24,13000000
Antonio Sanabria,1996-03-04,15500000
Rodrigo Battaglia,1991-07-12,12500000
José Izquierdo,1992-07-07,13000000
Rúben Afonso Borges Semedo,1994-04-04,12500000
Rafael A. Ferreira Silva,1993-05-17,14000000
Maximilian Philipp,1994-03-01,14000000
José Luis Morales Nogales,1987-07-23,10000000
Ander Capa Rodríguez,1992-05-14,11500000
Marco Sportiello,1992-05-10,9500000
Lucas Alario,1992-10-08,14000000
Duván Zapata,1991-04-01,13000000
Lisandro López,1989-09-01,10000000
Alan Ruiz,1993-08-19,14500000
Diego Laxalt,1993-02-07,13500000
Divock Origi,1995-04-18,15000000
Niklas Stark,1995-04-14,12500000
Hernâni Jorge Santos Fortes,1991-08-20,12500000
Iuri José Picanço Medeiros,1994-07-10,14500000
Bruno Miguel Borges Fernandes,1994-09-08,14000000
Roberto Gagliardini,1994-04-07,14500000
Carles Gil Pareja,1992-11-02,14000000
Paulo André Rodrigues Oliveira,1991-01-08,11000000
Alexander Szymanowski,1988-10-13,10500000
Bruno da Silva Peres,1990-03-01,11000000
Kevin Wimmer,1992-11-15,12000000
Thomas Partey,1993-06-13,12000000
Filip Kostic,1992-11-01,14000000
Andreas Hugo Hoelgebaum Pereira,1996-01-01,15500000
Andreas Samaris,1989-06-13,8500000
Abdoulaye Doucouré,1993-01-01,12000000
Guido Pizarro,1990-02-26,10000000
Matthias Ginter,1994-01-19,11500000
Jesse Lingard,1992-12-15,13000000
Mitchell Weiser,1994-04-21,12000000
Denis Cheryshev,1990-12-26,12000000
Pedro Bigas Rigo,1990-09-15,11000000
Dominique Heintz,1993-08-15,11500000
Lucas Castro,1989-04-09,10500000
James Ward-Prowse,1994-11-01,15000000
Takashi Inui,1988-06-04,10000000
Marcel Sabitzer,1994-03-17,13500000
Benjamin Mendy,1994-07-17,13000000
Raúl Jiménez,1991-05-05,12500000
M'Baye Niang,1994-12-19,14500000
Pavel Kadecábek,1992-04-25,11000000
Leonardo Bittencourt,1993-12-19,13500000
Jannik Vestergaard,1992-08-03,12000000
Sergi Darder Moll,1993-12-22,14000000
Diego Demme,1991-11-21,11000000
Valentin Eysseric,1992-03-25,12500000
Gastón Ramírez,1990-12-02,13000000
David López Silva,1989-10-09,8500000
Geoffrey Kondogbia,1993-02-15,11500000
Milan Badelj,1989-02-25,10500000
Aïssa Mandi,1991-10-22,11500000
José Carlos Coentrão Marafona,1987-05-08,6500000
Nacer Chadli,1989-08-02,11000000
Mark Uth,1991-08-24,13000000
Sebastian Rode,1990-10-11,10500000
André Filipe Brás André,1989-08-26,10500000
Danilo Luiz da Silva,1991-07-15,10500000
Vincent Aboubakar,1992-01-22,13500000
Charles Aránguiz,1989-04-17,10500000
Luis Alberto Romero Alconchel,1992-09-28,14000000
Raúl Rodríguez Navas,1988-05-11,9000000
Rodrigo Moreno Machado,1991-03-06,13000000
Daniel Caligiuri,1988-01-15,10000000
Simone Verdi,1992-07-12,13000000
Charlie Austin,1989-07-05,11000000
Borja González Tomás,1992-08-25,14000000
Andros Townsend,1991-07-16,12500000
Germán Pezzella,1991-06-27,11500000
Guido Burgstaller,1989-04-29,10500000
Thomas Delaney,1991-09-03,13000000
Koen Casteels,1992-06-25,9000000
Emanuele Giaccherini,1985-05-05,8000000
Holger Badstuber,1989-03-13,8500000
Marvin Plattenhardt,1992-01-26,10500000
Andreu Fontàs Prat,1989-11-14,10000000
Celso Borges,1988-05-27,8000000
Eliaquim Mangala,1991-02-13,11000000
Xabier Etxeita Gorritxat.,1987-10-31,8000000
Ben Mee,1989-09-23,10000000
Julian Baumgartlinger,1988-01-02,8000000
Victor Sánchez Mata,1987-09-08,8000000
Markel Susaeta Laskurain,1987-12-14,10000000
Etrit Berisha,1989-03-10,8500000
Yannick Bolasie,1989-05-24,10500000
Nicolas Nkoulou,1990-03-27,10000000
Senad Lulic,1986-01-18,9000000
